day,date,month,week,title,type,mechanic,content_preview
1,2026-02-16,Freshman Year,The Seating Chart,The Transfer,PROLOGUE,All start 0 Vice. Reputation +20%. No Breakdowns.,The bell doesn't ring. It stutters. A metallic echo that feels delayed like the building is buffering itself into existence. You don't remember arriving. You don't remember freshman year. You only remember almost making it.
2,2026-02-17,Freshman Year,The Seating Chart,The Chart,STORY,Reputation +20%. First duels locked in.,The seating chart is laminated. Heavy lamination. The kind that suggests permanence even though you watched Nate move tables twice yesterday. The Chart hovers in the center of the cafeteria rotating slowly.
3,2026-02-18,Freshman Year,The Seating Chart,The Audition,STORY,Tryouts & Auditions. Dueling Rep gain +100.,Valedictoria Vance has never looked up from her spreadsheet. The Honor Roll table has coasters. For the milk cartons. Rules: No elbows on the table. No noise above 40 decibels. No fun.
4,2026-02-19,Freshman Year,The Seating Chart,The Party,STORY,Vice types unlocked. Breakdowns enabled.,The doors to the parking lot slide open. No announcement. No one needs to. The first party is a ritual. The parking lot isn't a parking lot. It extends further than geometry allows.
5,2026-02-20,Freshman Year,The Seating Chart,The JV Bench,STORY,Secret knowledge unlocked.,You find them behind the bleachers. Not hiding. Just waiting. JV Jimmy. JV Jorge. JV Jamal. Same letterman jackets as Chad but the letters are different. Smaller. Junior Varsity. The B-Team.
6,2026-02-21,Freshman Year,The Seating Chart,Weekend - Good,COMMUNITY EVENT,Memory choice unlocked.,The cafeteria doesn't empty on weekends. It transforms. The fluorescent lights dim to a warmer spectrum. Not warm like sunlight. Warm like a computer screen in a dark room.
7,2026-02-22,Freshman Year,Tryouts & Auditions,The Déjà Vu,STORY,Dueling Rep +100. First Vice on loss.,The bell rings. It rings five minutes late. Yesterday it rang on time. The day before: six minutes late. The pattern isn't patterning. You're certain the Preps were on the left. Now they're center-right.
8,2026-02-23,Freshman Year,Tryouts & Auditions,Student Government,STORY,Campaign mechanics active.,The nominations are posted on the wall. Not the Seating Chart wall. A different wall. A wall that wasn't there yesterday. Valedictoria's name is already on the ballot. Written in permanent marker. The marker is still wet.
9,2026-02-24,Freshman Year,Tryouts & Auditions,Open Mic Night,STORY,Vice accumulation increases.,The microphone is a prop. It doesn't amplify. But when Conspiracy Kyle speaks into it the cafeteria listens. Not the people. The building itself. The walls absorb his words. The lights flicker in rhythm with his poetry.
10,2026-02-25,Freshman Year,Tryouts & Auditions,The First Vice,STORY,First Vice counters appear.,You feel it when you lose. Not dramatically. Subtly. A warmth at the edge of your card. A glow that wasn't there before. The Dropout sees it. He nods. Not in judgment. In recognition. "Welcome to the club" his eyes say.
11,2026-02-26,Freshman Year,Tryouts & Auditions,The Spreadsheet,STORY,Hidden data revealed.,Valedictoria shows you the hidden tab. ESCAPE_ATTEMPTS_LOG. 2009: Perfect GPA. Failed. 2015: McKinsey Offer. Failed. 2026: ??? PENDING. The last entry is today. Your arrival.
12,2026-02-27,Freshman Year,Tryouts & Auditions,Weekend - Good,COMMUNITY EVENT,Character backstory unlock.,Nate finds you in the parking lot. He's sitting in the '72 Impala. The engine is running. There's no key in the ignition. "I need to tell you about Subject 891" he says. "The one who graduated perfectly."
13,2026-02-28,Freshman Year,First Party,The Doors Open,STORY,All Vice types active.,Month One Week Three. The doors to the parking lot don't just open. They breathe. Inhale. Exhale. The threshold pulses like a heartbeat. The Freaks are already there. They never wait for permission.
14,2026-03-01,Freshman Year,First Party,Parking Lot Ritual,STORY,Vice effects doubled this week.,The cars arrange themselves in a circle. Headlights on. Pointing inward. Creating a arena of light and shadow. Stacy Status stands on a hood. Her card projects above her: VILLAIN ERA. Her Reputation fluctuates wildly. She smiles at the volatility.
15,2026-03-02,Freshman Year,First Party,The First Breakdown,STORY,Breakdown mechanics enabled.,You see it happen. Not to you. To a Geek. His name tag says LAN Party Larry. He's been winning. Too much. His Stability drops below threshold. His card doesn't just crack. It glitches. For a moment you see him older. Thinner. Sitting alone.
16,2026-03-03,Freshman Year,First Party,The Disappearance,STORY,Population counter -1.,Someone disappears. Not explodes. Not fades. Just—absence. Where they stood: an empty space. The grass doesn't grow there anymore. The cafeteria population counter if you could see it would read: 98. But you can't see it yet.
17,2026-03-04,Freshman Year,First Party,The Morning After,STORY,Memory gaps increase.,No one mentions the disappearance. You ask Nate. He looks at you blankly. "Who?" You describe them. The clothes. The card. The way they laughed. Nate shakes his head. "Sounds like a glitch. The system corrects."
18,2026-03-05,Freshman Year,First Party,The Lunch Lady Knows,STORY,Lore drop.,She finds you at the milk dispensers. The milk is expired. The expiration date is tomorrow. "You noticed" she says. Not a question. "Most don't. Most can't. The loop protects them from knowing."
19,2026-03-06,Freshman Year,First Party,Weekend - Good,COMMUNITY EVENT,First Memory Fragment.,The yearbook opens to a page you haven't seen. A photo of the cafeteria. Empty. No students. Just tables. And on every table: a card. Face down. Waiting. The caption: "Class of ∞. Voted Most Likely To Exist."
20,2026-03-07,Freshman Year,Rumor Cycle,The Screenshots,STORY,Random Vice injection.,Month One Week Four. The rumors start as whispers. Then screenshots. Then the Screenshots start circulating. Evidence of things that didn't happen. Conversations you don't remember having. Cards you didn't play. Vice you didn't earn.
21,2026-03-08,Freshman Year,Rumor Cycle,False Memory,STORY,Reality distortion active.,You remember a duel that didn't happen. You remember losing to Chad. But you beat Chad. Didn't you? You check your card. There's a crack you don't remember. Or was it always there?
22,2026-03-09,Freshman Year,Rumor Cycle,The Trap,STORY,Trap cards buffed.,Valedictoria sets a Trap. Not in a duel. In conversation. She asks about your life before. Your real life. The life outside. And as you answer you realize: you don't know. You don't remember your mother's name. Your hometown. Just the almosts.
23,2026-03-10,Freshman Year,Rumor Cycle,The Glitch,STORY,First system instability.,The Seating Chart glitches. For three seconds it shows next month's positions. You see yourself at the Center Table. You see the empty chair closer. You see a figure standing where the chair was. Tall. Featureless. The Principal.
24,2026-03-11,Freshman Year,Rumor Cycle,The Correction,STORY,Loop stability drops.,The Chart returns to normal. But something is wrong. The Preps are quieter. The Geeks have closed their laptops. The Freaks are sitting still. For the first time: stillness.
25,2026-03-12,Freshman Year,Rumor Cycle,The Empty Chair,STORY,Environmental storytelling.,You approach the front of the cafeteria. The empty chair is closer than Day One. You can see scratches on the floor where it used to be. Drag marks. Like it moved itself. Or something moved it.
26,2026-03-13,Freshman Year,Rumor Cycle,Weekend - Good,COMMUNITY EVENT,Month One finale setup.,The Lunch Lady finds you. "Month Two starts Monday" she says. "Sophomore Year. The déjà vu year. You'll remember fragments. Don't trust them. The loop wants you to think you understand. Understanding is the trap."
27,2026-03-14,Freshman Year,Rumor Cycle,The Last Day,STORY,Month One climax.,The final duel of Month One. It doesn't matter who you face. The outcome is predetermined. You will win. You will gain Reputation. You will feel accomplished. And you will not notice that the empty chair moved again. Closer. Always closer.
28,2026-03-15,Freshman Year,Rumor Cycle,The Reset,STORY,Loop continues.,You wake up. The bell stutters. The lights flicker. The cafeteria buzzes. Nate flips his coin. "New kid?" he asks. But something is different. A crack in your card art. A memory fragment. A feeling that you've been here before. Because you have.
29,2026-03-16,Sophomore Year,New Seating War,Month Two Begins,STORY,Forced deck changes.,The tables have moved. The Preps are where the Geeks were. The Dropouts have migrated to the windows. You must change one Stereotype in your deck. Forced adaptation. The loop demands evolution.
30,2026-03-17,Sophomore Year,New Seating War,Déjà Vu,STORY,Memory fragments intensify.,You remember this conversation. Chad's challenge. Valedictoria's spreadsheet. But the details are wrong. The colors are off. The timing is different. You're remembering Month One but filtered through Month Two.
